Code : "ab", Name : "ABKHAZIAN"
Code : "aa", Name : "AFAR"
Code : "af", Name : "AFRIKAANS"
Code : "ak", Name : "AKAN"
Code : "sq", Name : "ALBANIAN"
Code : "am", Name : "AMHARIC"
Code : "ar", Name : "ARABIC"
Code : "hy", Name : "ARMENIAN"
Code : "as", Name : "ASSAMESE"
Code : "ay", Name : "AYMARA"
Code : "az", Name : "AZERBAIJANI"
Code : "ba", Name : "BASHKIR"
Code : "eu", Name : "BASQUE"
Code : "be", Name : "BELARUSIAN"
Code : "bn", Name : "BENGALI"
Code : "bh", Name : "BIHARI"
Code : "bi", Name : "BISLAMA"
Code : "bs", Name : "BOSNIAN"
Code : "br", Name : "BRETON"
Code : "bg", Name : "BULGARIAN"
Code : "my", Name : "BURMESE"
Code : "ca", Name : "CATALAN"
Code : "ceb", Name : "CEBUANO"
Code : "chr", Name : "CHEROKEE"
Code : "co", Name : "CORSICAN"
Code : "hr", Name : "CROATIAN"
Code : "cs", Name : "CZECH"
Code : "zh", Name : "CHINESE"
Code : "zh-Hant", Name : "CHINESET"
Code : "da", Name : "DANISH"
Code : "dv", Name : "DHIVEHI"
Code : "nl", Name : "DUTCH"
Code : "dz", Name : "DZONGKHA"
Code : "en", Name : "ENGLISH"
Code : "eo", Name : "ESPERANTO"
Code : "et", Name : "ESTONIAN"
Code : "fo", Name : "FAROESE"
Code : "fj", Name : "FIJIAN"
Code : "fi", Name : "FINNISH"
Code : "fr", Name : "FRENCH"
Code : "fy", Name : "FRISIAN"
Code : "gl", Name : "GALICIAN"
Code : "lg", Name : "GANDA"
Code : "ka", Name : "GEORGIAN"
Code : "de", Name : "GERMAN"
Code : "el", Name : "GREEK"
Code : "kl", Name : "GREENLANDIC"
Code : "gn", Name : "GUARANI"
Code : "gu", Name : "GUJARATI"
Code : "ht", Name : "HAITIAN_CREOLE"
Code : "ha", Name : "HAUSA"
Code : "haw", Name : "HAWAIIAN"
Code : "iw", Name : "HEBREW"
Code : "hi", Name : "HINDI"
Code : "hmn", Name : "HMONG"
Code : "hu", Name : "HUNGARIAN"
Code : "is", Name : "ICELANDIC"
Code : "ig", Name : "IGBO"
Code : "id", Name : "INDONESIAN"
Code : "ia", Name : "INTERLINGUA"
Code : "ie", Name : "INTERLINGUE"
Code : "iu", Name : "INUKTITUT"
Code : "ik", Name : "INUPIAK"
Code : "ga", Name : "IRISH"
Code : "it", Name : "ITALIAN"
Code : "jw", Name : "JAVANESE"
Code : "ja", Name : "JAPANESE"
Code : "kn", Name : "KANNADA"
Code : "ks", Name : "KASHMIRI"
Code : "kk", Name : "KAZAKH"
Code : "kha", Name : "KHASI"
Code : "km", Name : "KHMER"
Code : "rw", Name : "KINYARWANDA"
Code : "ku", Name : "KURDISH"
Code : "ky", Name : "KYRGYZ"
Code : "ko", Name : "KOREAN"
Code : "lo", Name : "LAOTHIAN"
Code : "la", Name : "LATIN"
Code : "lv", Name : "LATVIAN"
Code : "lif", Name : "LIMBU"
Code : "ln", Name : "LINGALA"
Code : "lt", Name : "LITHUANIAN"
Code : "lb", Name : "LUXEMBOURGISH"
